Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-10-19,26-030,ATL,,HOU,W (+10),1,38:14,8,19,.421,1,5,.200,3,3,1.000,0,5,5,11,5,1,0,0,20,24.8,+8
2,2,2022-10-21,26-032,ATL,,ORL,W (+10),1,39:37,8,16,.500,2,5,.400,2,2,1.000,1,8,9,9,4,0,7,2,20,17.6,+17
3,3,2022-10-23,26-034,ATL,,CHO,L (-17),1,38:48,7,15,.467,2,4,.500,3,3,1.000,1,7,8,5,1,1,4,2,19,14.5,-11
4,4,2022-10-26,26-037,ATL,@,DET,W (+5),1,39:19,5,18,.278,2,6,.333,2,4,.500,2,6,8,8,2,2,2,2,14,12.0,+4
5,5,2022-10-28,26-039,ATL,@,DET,W (+24),1,32:23,12,21,.571,2,6,.333,0,0,,0,4,4,5,0,0,0,0,26,20.8,+21
6,6,2022-10-29,26-040,ATL,@,MIL,L (-8),1,34:16,9,19,.474,3,5,.600,0,0,,0,5,5,6,2,0,1,3,21,16.8,+1
7,7,2022-10-31,26-042,ATL,@,TOR,L (-30),1,30:31,7,15,.467,2,4,.500,4,4,1.000,0,4,4,9,0,0,4,3,20,14.6,-12
8,8,2022-11-02,26-044,ATL,@,NYK,W (+13),1,38:06,14,27,.519,5,12,.417,3,3,1.000,0,4,4,9,5,1,3,1,36,32.5,+26
9,9,2022-11-05,26-047,ATL,,NOP,W (+3),1,41:47,9,23,.391,1,8,.125,3,4,.750,2,8,10,11,3,0,2,3,22,20.4,+21
10,10,2022-11-07,26-049,ATL,,MIL,W (+19),1,32:03,11,24,.458,3,9,.333,0,0,,2,6,8,11,3,0,3,1,25,23.1,+4
11,11,2022-11-09,26-051,ATL,,UTA,L (-6),1,37:49,11,20,.550,1,5,.200,3,4,.750,1,5,6,5,0,1,3,4,26,17.8,-7
12,12,2022-11-10,26-052,ATL,,PHI,W (+9),1,34:42,5,13,.385,0,4,.000,0,0,,0,3,3,8,2,0,2,1,10,9.0,-14
13,13,2022-11-12,26-054,ATL,@,PHI,L (-12),1,38:19,9,23,.391,1,4,.250,4,4,1.000,3,5,8,7,2,0,0,1,23,20.6,-21
14,14,2022-11-14,26-056,ATL,@,MIL,W (+15),1,36:01,6,14,.429,1,4,.250,6,7,.857,0,8,8,5,0,0,1,2,19,15.3,+6
15,15,2022-11-16,26-058,ATL,,BOS,L (-25),1,33:43,9,17,.529,1,3,.333,0,0,,0,3,3,5,1,0,3,3,19,11.9,-24
16,16,2022-11-19,26-061,ATL,,TOR,W (+2),1,40:21,7,18,.389,1,6,.167,2,2,1.000,0,7,7,4,2,0,2,0,17,12.1,+13
17,17,2022-11-21,26-063,ATL,@,CLE,L (-12),1,37:19,4,17,.235,1,4,.250,2,2,1.000,1,3,4,6,1,0,4,1,11,3.1,-6
18,18,2022-11-23,26-065,ATL,,SAC,W (+9),1,34:59,5,16,.313,1,4,.250,4,4,1.000,1,6,7,4,3,0,2,2,15,11.3,+7
19,19,2022-11-25,26-067,ATL,@,HOU,L (-6),1,35:39,14,24,.583,8,13,.615,3,3,1.000,0,3,3,3,2,0,3,2,39,29.0,-6
20,20,2022-11-27,26-069,ATL,,MIA,L (-8),1,38:49,5,16,.313,2,8,.250,1,2,.500,0,5,5,2,1,0,2,0,13,5.3,-13
21,21,2022-11-28,26-070,ATL,@,PHI,L (-3),1,40:29,6,13,.462,3,6,.500,2,2,1.000,1,4,5,6,1,1,7,3,17,9.9,-2
22,22,2022-11-30,26-072,ATL,@,ORL,W (+17),1,38:59,11,23,.478,3,8,.375,2,3,.667,0,3,3,6,2,1,5,1,27,17.3,+8
23,23,2022-12-02,26-074,ATL,,DEN,W (+8),1,35:28,13,22,.591,4,7,.571,4,6,.667,1,2,3,8,0,1,1,1,34,29.2,+3
24,24,2022-12-05,26-077,ATL,,OKC,L (-7),1,38:25,10,21,.476,3,5,.600,1,3,.333,3,3,6,3,2,2,3,4,24,16.4,-2
25,25,2022-12-07,26-079,ATL,@,NYK,L (-24),1,3:34,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,-4
26,,2022-12-09,26-081,ATL,@,BRK,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2022-12-11,26-083,ATL,,CHI,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2022-12-12,26-084,ATL,@,MEM,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2022-12-14,26-086,ATL,@,ORL,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2022-12-16,26-088,ATL,@,CHO,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,26,2022-12-19,26-091,ATL,,ORL,W (+1),1,37:34,7,18,.389,1,7,.143,2,2,1.000,1,4,5,3,2,0,3,4,17,8.6,-2
32,27,2022-12-21,26-093,ATL,,CHI,L (-2),1,39:59,7,17,.412,0,3,.000,1,1,1.000,0,5,5,10,0,0,5,2,15,8.6,-2
33,28,2022-12-23,26-095,ATL,,DET,W (+25),1,36:35,10,18,.556,3,8,.375,3,4,.750,0,3,3,5,4,0,1,2,26,23.6,+19
34,29,2022-12-27,26-099,ATL,@,IND,L (-15),1,34:44,4,12,.333,1,3,.333,5,6,.833,0,2,2,3,1,0,1,1,14,9.1,-20
35,30,2022-12-28,26-100,ATL,,BRK,L (-1),1,39:50,10,26,.385,1,4,.250,3,4,.750,1,8,9,8,1,0,0,0,24,19.1,-1
36,31,2022-12-30,26-102,ATL,,LAL,L (-9),1,39:08,8,17,.471,3,7,.429,1,1,1.000,1,6,7,9,1,0,2,0,20,19.1,-8
37,32,2023-01-02,26-105,ATL,@,GSW,L (-2),1,50:42,10,20,.500,1,4,.250,4,4,1.000,1,9,10,7,2,1,3,1,25,22.6,0
38,33,2023-01-04,26-107,ATL,@,SAC,W (+3),1,34:46,8,17,.471,1,4,.250,4,4,1.000,1,5,6,4,3,0,2,1,21,17.9,0
39,34,2023-01-06,26-109,ATL,@,LAL,L (-16),1,35:02,7,18,.389,2,4,.500,0,1,.000,1,0,1,6,1,0,1,0,16,10.7,-11
40,35,2023-01-08,26-111,ATL,@,LAC,W (+4),1,37:23,8,18,.444,0,3,.000,0,0,,1,4,5,4,1,0,2,0,16,10.3,0
41,36,2023-01-11,26-114,ATL,,MIL,L (-9),1,37:53,4,16,.250,1,5,.200,0,0,,0,4,4,5,2,0,3,0,9,3.1,-14
42,37,2023-01-13,26-116,ATL,@,IND,W (+2),1,36:02,7,18,.389,2,4,.500,2,2,1.000,1,7,8,6,1,0,1,1,18,14.8,+7
43,38,2023-01-14,26-117,ATL,@,TOR,W (+11),1,38:35,10,17,.588,2,5,.400,5,6,.833,0,8,8,6,2,0,4,2,27,22.5,+13
44,39,2023-01-16,26-119,ATL,,MIA,W (+8),1,35:11,11,17,.647,5,8,.625,1,2,.500,0,4,4,7,2,1,2,0,28,26.9,+4
45,40,2023-01-18,26-121,ATL,@,DAL,W (+8),1,37:37,12,18,.667,4,6,.667,2,2,1.000,1,6,7,4,1,0,1,4,30,25.9,+7
46,41,2023-01-20,26-123,ATL,,NYK,W (+15),1,36:28,14,25,.560,1,4,.250,0,0,,2,4,6,12,3,0,1,1,29,29.7,+9
47,42,2023-01-21,26-124,ATL,,CHO,L (-4),1,37:24,11,20,.550,4,6,.667,0,0,,0,3,3,3,1,0,3,0,26,17.4,-10
48,43,2023-01-23,26-126,ATL,@,CHI,L (-11),1,36:29,9,19,.474,2,7,.286,0,0,,0,7,7,4,0,0,2,1,20,12.8,-21
49,44,2023-01-25,26-128,ATL,@,OKC,W (+5),1,38:25,9,19,.474,1,8,.125,2,2,1.000,0,2,2,3,0,1,4,3,21,9.5,-1
50,45,2023-01-28,26-131,ATL,,LAC,L (-7),1,38:45,7,17,.412,1,5,.200,0,0,,1,5,6,8,2,1,1,1,15,15.0,-11
51,46,2023-01-30,26-133,ATL,@,POR,L (-4),1,38:12,13,25,.520,5,8,.625,9,9,1.000,3,5,8,7,2,0,0,1,40,37.8,-4
52,47,2023-02-01,26-135,ATL,@,PHO,W (+32),1,29:38,8,13,.615,4,7,.571,1,3,.333,0,6,6,8,0,0,1,3,21,19.5,+40
53,48,2023-02-03,26-137,ATL,@,UTA,W (+7),1,36:58,5,16,.313,1,6,.167,2,2,1.000,1,4,5,8,3,0,2,1,13,11.9,+3
54,49,2023-02-04,26-138,ATL,@,DEN,L (-20),1,35:32,10,21,.476,3,8,.375,5,7,.714,1,3,4,10,1,2,3,0,28,24.5,-15
55,50,2023-02-07,26-141,ATL,@,NOP,L (-9),1,39:56,8,17,.471,3,8,.375,0,0,,0,5,5,7,1,0,3,2,19,13.9,-9
56,51,2023-02-09,26-143,ATL,,PHO,W (+9),1,37:24,8,14,.571,2,4,.500,1,2,.500,1,7,8,5,0,1,4,2,19,14.2,+2
57,52,2023-02-11,26-145,ATL,,SAS,W (+19),1,33:06,8,18,.444,2,5,.400,0,0,,1,6,7,3,1,0,1,1,18,12.8,+12
58,53,2023-02-13,26-147,ATL,@,CHO,L (-6),1,39:43,8,14,.571,1,3,.333,3,3,1.000,0,5,5,4,1,0,0,1,20,18.3,-1
59,54,2023-02-15,26-149,ATL,,NYK,L (-21),1,33:43,3,12,.250,0,4,.000,0,0,,0,5,5,3,0,0,1,2,6,0.6,-20
60,55,2023-02-24,26-158,ATL,,CLE,W (+17),1,34:35,11,19,.579,2,6,.333,1,1,1.000,1,8,9,8,1,0,3,1,25,22.4,+18
61,56,2023-02-26,26-160,ATL,,BRK,W (+2),1,32:40,12,21,.571,4,7,.571,0,0,,1,2,3,4,1,0,2,0,28,21.2,-6
62,57,2023-02-28,26-162,ATL,,WAS,L (-3),1,35:02,7,18,.389,1,6,.167,0,0,,1,1,2,5,0,0,1,1,15,8.3,+3
63,58,2023-03-03,26-165,ATL,,POR,W (+18),1,33:36,17,22,.773,5,5,1.000,2,2,1.000,0,5,5,6,1,0,4,1,41,34.7,+11
64,59,2023-03-04,26-166,ATL,@,MIA,L (-8),1,36:02,3,14,.214,0,5,.000,4,5,.800,1,4,5,3,2,0,2,1,10,4.6,-17
65,60,2023-03-06,26-168,ATL,@,MIA,L (-2),1,37:15,10,19,.526,1,6,.167,2,2,1.000,0,4,4,8,2,0,0,2,23,21.7,+1
66,61,2023-03-08,26-170,ATL,@,WAS,W (+2),1,38:48,5,16,.313,1,5,.200,6,6,1.000,1,3,4,6,3,0,1,2,17,14.8,+1
67,62,2023-03-10,26-172,ATL,@,WAS,W (+7),1,35:34,6,16,.375,1,3,.333,3,4,.750,3,4,7,7,1,0,1,0,16,15.0,-1
68,63,2023-03-11,26-173,ATL,,BOS,L (-9),1,39:06,7,18,.389,0,3,.000,0,0,,0,4,4,4,3,0,4,0,14,7.2,-13
69,64,2023-03-13,26-175,ATL,,MIN,L (-21),1,32:41,5,15,.333,1,2,.500,0,2,.000,0,5,5,2,2,0,5,3,11,0.4,-29
70,65,2023-03-17,26-179,ATL,,GSW,W (+8),1,36:30,4,14,.286,0,4,.000,2,4,.500,1,6,7,9,1,0,1,2,10,9.0,-6
71,66,2023-03-19,26-181,ATL,@,SAS,L (-8),1,39:12,10,25,.400,0,3,.000,2,2,1.000,1,5,6,8,1,0,0,4,22,15.7,-13
72,,2023-03-21,26-183,ATL,,DET,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,,2023-03-22,26-184,ATL,@,MIN,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,67,2023-03-25,26-187,ATL,,IND,W (+13),1,33:35,8,20,.400,0,2,.000,4,4,1.000,0,2,2,12,2,1,1,1,20,19.5,+8
75,68,2023-03-26,26-188,ATL,,MEM,L (-4),1,37:52,3,11,.273,1,5,.200,6,8,.750,0,2,2,9,0,0,2,0,13,10.6,+2
76,69,2023-03-28,26-190,ATL,,CLE,W (+2),1,35:14,11,22,.500,3,7,.429,4,5,.800,1,3,4,5,2,0,0,0,29,24.7,-5
77,70,2023-03-31,26-193,ATL,@,BRK,L (-17),1,36:27,9,15,.600,1,3,.333,2,3,.667,2,3,5,5,2,0,1,2,21,19.7,-18
78,71,2023-04-02,26-195,ATL,,DAL,W (+2),1,41:29,11,21,.524,1,4,.250,2,2,1.000,1,6,7,4,1,0,4,4,25,15.4,+2
79,72,2023-04-04,26-197,ATL,@,CHI,W (+18),1,34:43,7,13,.538,0,3,.000,3,3,1.000,1,2,3,9,1,0,1,1,17,17.9,+21
80,73,2023-04-05,26-198,ATL,,WAS,W (+18),1,30:15,8,13,.615,1,3,.333,2,2,1.000,0,7,7,2,2,0,4,0,19,14.6,+19
81,74,2023-04-07,26-200,ATL,,PHI,L (-5),1,40:21,9,16,.563,0,2,.000,1,1,1.000,0,1,1,4,1,0,2,2,19,12.7,-23
82,,2023-04-09,26-202,ATL,@,BOS,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive